📺央视频道,#genre#
CCTV1,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000001/index.m3u8?$订阅源|IPv6
CCTV1,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000001/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000001$订阅源|IPv6
CCTV1,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$订阅源|IPv6
CCTV1,http://219.159.194.213:8181/tsfile/live/0001_1.m3u8$订阅源
CCTV2,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000502/index.m3u8?$订阅源|IPv6
CCTV2,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031101/index.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3$订阅源|IPv6
CCTV2,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$订阅源|IPv6
CCTV2,http://219.159.194.213:8181/tsfile/live/0002_1.m3u8$订阅源
CCTV3,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000003/index.m3u8?$订阅源|IPv6
CCTV3,http://[2409:8087:1a0a:df::404e]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源|IPv6
CCTV3,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源|IPv6
CCTV3,http://219.159.194.213:8181/tsfile/live/0003_1.m3u8$订阅源
CCTV4,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000503/index.m3u8?$订阅源|IPv6
CCTV4,http://[2409:8087:5e08:24::17]:6610/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源|IPv6
CCTV4,http://[2409:8087:1a0a:df::4031]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$订阅源|IPv6
CCTV4,http://219.159.194.213:8181/tsfile/live/0004_1.m3u8$订阅源
CCTV5,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000005/index.m3u8?$订阅源|IPv6
CCTV5,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源|IPv6
CCTV5,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源|IPv6
CCTV5,http://219.159.194.213:8181/tsfile/live/0005_1.m3u8$订阅源
CCTV5+,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000507/index.m3u8?$订阅源|IPv6
CCTV5+,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=3$订阅源|IPv6
CCTV5+,http://[2409:8087:1a0a:df::4032]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$订阅源|IPv6
CCTV5+,http://219.159.194.213:8181/tsfile/live/0016_1.m3u8$订阅源
CCTV6,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000006/index.m3u8?$订阅源|IPv6
CCTV6,http://[2409:8087:5e08:24::2]:6610/000000001000/5000000004000008886/index.m3u8?channel-id=bestzb&Contentid=5000000004000008886&livemode=1&stbId=3$订阅源|IPv6
CCTV6,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源|IPv6
CCTV6,http://219.159.194.213:8181/tsfile/live/0006_1.m3u8$订阅源
CCTV7,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000504/index.m3u8?$订阅源|IPv6
CCTV7,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源|IPv6
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源|IPv6
CCTV7,http://219.159.194.213:8181/tsfile/live/0007_1.m3u8$订阅源
CCTV8,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000008/index.m3u8?$订阅源|IPv6
CCTV8,http://[2409:8087:1a0a:df::4036]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$订阅源|IPv6
CCTV8,http://[2409:8087:1a0a:df::4036]:80/wh7f454c46tw1670555715_-98597522/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$订阅源|IPv6
CCTV8,http://219.159.194.213:8181/tsfile/live/0008_1.m3u8$订阅源
CCTV9,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000505/index.m3u8?$订阅源|IPv6
